Sequence	PathDelay
strash;dc2;dc2;rewrite;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;rewrite;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8162
strash;rewrite -z;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8191
strash;refactor;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;refactor -z;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;resub -K 8;rewrite;refactor -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8343
strash;resub -K 8;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8276
strash;dc2;rewrite;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8438
strash;rewrite;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8427
strash;rewrite -z;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8329
strash;refactor;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;refactor -z;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;resub -K 8;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8275
strash;dc2;rewrite -z;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8167
strash;rewrite;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;rewrite -z;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8187
strash;dc2;rewrite;refactor -z;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8265
strash;refactor;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8408
strash;refactor -z;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8313
strash;resub -K 8;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	7800
strash;dc2;refactor;rewrite -z;dc2;strash;ifraig;scorr;dc2;strash;dch -f;if -K 6;mfs2;lutpack -S 1	8438
