Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
478	&scorr;&sweep;&syn4;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&dch -f;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;										1790	  16523
479	&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.937	6.666(38%)	11.271(62%)	38	13441	85	13356	4511	1680	3083	  13080
480	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;										1789	  17582
481	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.052	6.719(36%)	12.333(64%)	36	13050	85	12965	4511	1680	3082	  12591
482	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dc2;&dc2;&if -W 300 -K 6 -v;&mfs;	19.064	6.722(36%)	12.342(64%)	36	13008	85	12923	4511	1680	2883	  12391
483	&scorr;&sweep;&dch -f;&b;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	18.235	6.517(36%)	11.718(64%)	36	13091	85	13006	4511	1680	2883	  12444
484	&scorr;&sweep;&syn4;&dch -f;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	18.959	6.677(36%)	12.282(64%)	36	12957	85	12872	4511	1680	3187	  12297
485	&scorr;&sweep;&dc2;&if -W 300 -K 6 -v;&mfs;	21.600	7.487(35%)	14.113(65%)	35	13726	85	13641	4511	1680	3628	  13221
486	&scorr;&sweep;&syn3;&dch -f;&syn4;&if -W 300 -K 6 -v;&mfs;	26.402	8.621(33%)	17.781(67%)	33	12921	85	12836	4511	1680	3629	  12380
487	&scorr;&sweep;&if -W 300 -x -K 6;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&dch;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;										1789	  15713
488	&scorr;&sweep;&syn2;&synch2;&if -W 300 -K 6 -v;&mfs;	19.396	6.846(36%)	12.550(64%)	36	12633	85	12548	4511	1680	3081	  12112
489	&scorr;&sweep;&if -W 300 -g -K 6;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;										1789	  18770
490	&scorr;&sweep;&syn4;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	25.140	8.373(34%)	16.767(66%)	34	13259	85	13174	4511	1680	3325	  12646
491	&scorr;&sweep;&syn2;&synch2;&syn3;&if -W 300 -K 6 -v;&mfs;	20.878	7.094(34%)	13.784(66%)	34	12650	85	12565	4511	1680	3083	  12228
492	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	18.079	6.411(36%)	11.668(64%)	36	12706	85	12621	4511	1680	3083	  12256
493	&scorr;&sweep;&if -W 300 -g -K 6;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	18.872	6.925(37%)	11.947(63%)	37	13073	85	12988	4511	1680	3084	  12510
494	&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;	20.516	7.101(35%)	13.415(65%)	35	12830	85	12745	4511	1680	3083	  12361
495	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	18.452	6.273(34%)	12.179(66%)	34	14153	85	14068	4511	1680	3083	  13747
496	&scorr;&sweep;&b -d;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	20.005	7.264(37%)	12.741(63%)	37	13502	85	13417	4511	1680	3628	  13006
497	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	19.180	6.846(36%)	12.334(64%)	36	13195	85	13110	4511	1680	3085	  12699
498	&scorr;&sweep;&b -d;&synch2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.631	6.320(36%)	11.311(64%)	36	13325	85	13240	4511	1680	3386	  12887
499	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	18.801	6.801(37%)	12.000(63%)	37	13231	85	13146	4511	1680	3083	  12748
