Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
795	&scorr;&sweep;&b -d;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.709	4.719(22%)	16.990(78%)	22	7259	0	7259	2784	0	2414	   7449
796	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.998	4.099(22%)	14.899(78%)	22	7258	0	7258	2784	0	2414	   7492
797	&scorr;&sweep;&if -W 300 -g -K 6&synch2&if -W 300 -g -K 6&if -W 300 -K 6 -v;&mfs;	24.612	5.463(23%)	19.149(77%)	23	7330	0	7330	2784	0	2414	   7442
798	&scorr;&sweep;&if -W 300 -y -K 6;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.157	4.595(23%)	15.562(77%)	23	7279	0	7279	2784	0	2414	   7339
799	&scorr;&sweep;&synch2;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.405	4.347(23%)	15.058(77%)	23	7236	0	7236	2784	0	2414	   7223
800	&scorr;&sweep;&dch;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.091	4.843(21%)	18.248(79%)	21	7304	0	7304	2784	0	2415	   7486
801	&scorr;&sweep;&dch -f;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.110	4.595(22%)	16.515(78%)	22	7250	0	7250	2784	0	2414	   7220
802	&scorr;&sweep;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	26.713	5.835(22%)	20.878(78%)	22	7379	0	7379	2784	0	2414	   7489
803	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.611	4.595(23%)	16.016(77%)	23	7233	0	7233	2784	0	2415	   7704
804	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.355	4.595(23%)	15.760(77%)	23	7245	0	7245	2784	0	2415	   7478
