Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2913	"&scorr;&sweep;&syn2;&dch -f;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;
"	23.153	7.859	15.294	34	12938	12853	46200	4511	1680	3325.00	12411.0
8206	"&scorr;&sweep;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	25.612	8.373	17.239	33	12618	12533	46200	4511	1680	3325.00	11944.0
7681	"&scorr;&sweep;&synch2;&syn2;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;
"	20.783	7.304	13.479	36	12779	12694	46200	4511	1680	3083.00	12258.0
10717	"&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&dch -f;&syn3;&if -W 300 -K 6 -v;&mfs;
"	18.601	6.722	11.879	37	13396	13311	46200	4511	1680	3085.00	12891.0
18827	"&scorr;&sweep;&dch -f;&if -W 300 -K 6 -v;&st;&dch;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1844.00	16588.0
14812	"&scorr;&sweep;&dc2;&if -W 300 -g -K 6;&b;&b;&if -W 300 -K 6 -v;&mfs;
"	18.519	6.562	11.957	36	13229	13144	46200	4511	1680	3084.00	12706.0
18530	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&synch2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17018.0
11634	"&scorr;&sweep;&dc2;&b;&syn3;&syn4;&if -W 300 -K 6 -v;&mfs;
"	25.319	8.048	17.271	32	13057	12972	46200	4511	1680	3629.00	12506.0
14424	"&scorr;&sweep;&b;&if -W 300 -g -K 6;&syn3;&b;&if -W 300 -K 6 -v;&mfs;
"	20.000	6.828	13.172	35	12998	12913	46200	4511	1680	3083.00	12662.0
7217	"&scorr;&sweep;&if -W 300 -g -K 6;&dch;&if -W 300 -g -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.724	6.711	12.013	36	13164	13079	46200	4511	1680	3085.00	12624.0
11166	"&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;
"	18.618	6.605	12.013	36	12818	12733	46200	4511	1680	2884.00	12189.0
13066	"&scorr;&sweep;&b;&if -W 300 -y -K 6;&synch2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.356	6.900	14.456	33	13292	13207	46200	4511	1680	3084.00	12829.0
4192	"&scorr;&sweep;&if -W 300 -x -K 6;&b;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.816	6.925	11.891	37	13396	13311	46200	4511	1680	3084.00	13002.0
2906	"&scorr;&sweep;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&st;&if -W 300 -K 6 -v;&mfs;
"	18.168	7.811	10.357	43	13221	13136	46200	4511	1680	3086.00	12652.0
958	"&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&syn4;&if -W 300 -K 6 -v;&mfs;
"	18.731	6.711	12.020	36	13465	13380	46200	4511	1680	3085.00	12926.0
16920	"&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	15338.0
12210	"&scorr;&sweep;&syn3;&syn4;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;
"	23.743	7.714	16.029	33	13113	13028	46200	4511	1680	3628.00	12676.0
18162	"&scorr;&sweep;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;
"										1789.00	17432.0
184	"&scorr;&sweep;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -K 6 -v;&mfs;
"	19.581	6.722	12.859	35	12905	12820	46200	4511	1680	3186.00	12257.0
2106	"&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;
"	18.382	6.562	11.820	36	12955	12870	46200	4511	1680	3083.00	12502.0
