Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2686	&scorr;&sweep;&syn2;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.247	7.049(35%)	13.198(65%)	35	13121	85	13036	4511	1680	3083	  12693
2687	&scorr;&sweep;&dch;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1842	  16163
2688	&scorr;&sweep;&syn3;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.233	7.297(35%)	13.936(65%)	35	13067	85	12982	4511	1680	3084	  12630
2689	&scorr;&sweep;&syn4;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.255	7.297(35%)	13.958(65%)	35	13218	85	13133	4511	1680	3085	  12677
2690	&scorr;&sweep;&b;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.264	7.049(35%)	13.215(65%)	35	13180	85	13095	4511	1680	3084	  12782
2691	&scorr;&sweep;&b -d;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.583	7.173(35%)	13.410(65%)	35	13240	85	13155	4511	1680	3083	  12811
2692	&scorr;&sweep;&if -W 300 -x -K 6;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.832	6.718(34%)	13.114(66%)	34	13192	85	13107	4511	1680	3083	  12662
2693	&scorr;&sweep;&if -W 300 -g -K 6;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.983	7.049(36%)	12.934(64%)	36	13252	85	13167	4511	1680	3084	  12775
2694	&scorr;&sweep;&if -W 300 -y -K 6;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.729	6.828(35%)	12.901(65%)	35	13142	85	13057	4511	1680	3083	  12613
2695	&scorr;&sweep;&synch2;&b;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.103	7.207(35%)	13.896(65%)	35	13173	85	13088	4511	1680	3084	  12743
