Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
1186	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1789	  17469
1187	&scorr;&sweep;&synch2;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1789	  17619
1188	&scorr;&sweep;&syn2;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;	20.187	7.101(36%)	13.086(64%)	36	13146	85	13061	4511	1680	3082	  12767
1189	&scorr;&sweep;&dch;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  16418
1190	&scorr;&sweep;&dch -f;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1843	  18011
1191	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1771	  16776
1192	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;										1789	  16822
1193	&scorr;&sweep;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	18.767	6.562(35%)	12.205(65%)	35	12958	85	12873	4511	1680	3084	  12405
1194	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	19.843	6.828(35%)	13.015(65%)	35	12749	85	12664	4511	1680	3082	  12317
1195	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.915	7.218(35%)	13.697(65%)	35	12722	85	12637	4511	1680	3084	  12291
1196	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.532	7.342(35%)	14.190(65%)	35	12836	85	12751	4511	1680	3083	  12356
